patient_name,gender,age
salman,m,09/23/1994
rahima,f,06/22/1991
israt,f,09/25/1994
michael,m,08/27/1999
raj,m,10/20/1994
akash,m,09/28/1994
nilu,f,09/29/1994
joya,f,11/07/1995
roktim,m,10/01/1994
obaidul,m,10/02/1994
kader,m,10/03/1994
samsul,m,10/04/1994
hogue,m,10/05/1994
rakesh,m,01/06/1992
omi,m,10/07/1994
moni,f,10/08/1994
roy,m,10/09/1994
abdul,m,10/10/1994
ehsan,m,10/11/1994
somrat,m,10/12/1993
sayeed,m,10/13/1991
masud,m,10/14/1994
parihar,m,02/14/2001
toky,m,02/15/2000
kalam,m,02/16/2001
mustaq,m,02/17/2003
sumi,f,09/27/1999
ikram,m,09/28/1999
rashid,m,09/29/1991
bikas,m,09/30/1988
sonia,f,10/01/1999
nandu,m,10/02/1979
ria,f,11/03/1999
samiha,f,10/04/1984
muddasar,m,11/05/1999
khan,m,10/06/1980
smasher,m,10/07/1999
depak,m,11/19/1995
bhiari,m,01/20/1992
narendra,m,11/21/1995
atul,m,05/22/1996
sinha,m,11/23/1995
ayay,m,10/03/1999
marjuk,m,10/04/1999
kalima,f,05/05/1990
rani,f,10/06/1991
muktar,m,10/07/1999
allama,m,08/08/1969
mushfiq,m,10/09/1992
muntasir,m,09/09/1987
jamil,m,09/10/1987
asif,m,10/11/1987
haider,m,09/12/1984
arif,m,12/13/1987
sultan,m,09/14/1988
prince,m,11/11/1981
kamrul,m,11/12/1981
hasnain,m,10/13/1991
tanvir,m,11/14/1981
proma,f,11/15/1981
priya,f,11/16/1981
soma,f,10/21/1971
supta,f,11/18/1981
tarekul,m,11/29/1991
saif,m,09/14/1981
md.jamal,m,10/17/1982
ashok,m,03/08/1981
jacky,m,11/08/1990
asraf,m,11/09/1990
chinmay,m,03/07/1991
mridula,f,03/08/1991
akashdeep,m,08/09/1992
anirban,m,03/10/1991
alok nath,m,03/11/1991
jadeja,m,10/30/1976
debashish,m,12/01/1999
debu,m,12/02/1999
prakriti,f,12/03/1999
smith,m,11/27/1985
malina,f,11/28/1983
momo,f,11/29/1985
rasel,m,11/30/1987
anonto,m,12/01/1985
ashfaq,m,12/02/1995
hossen,m,12/03/2005
ratan,m,12/04/1985
peter,m,12/05/2007
jadeja,m,10/30/1976
rizu,m,10/31/1976
arunima,f,11/01/1973
michell,m,11/02/1976
robert,m,10/03/1972
virat,m,11/08/1979
dhwan,m,11/05/1976
susma,f,11/06/1977
shahid,m,02/20/1997
william,m,02/21/1977
rishavh,m,02/22/2007
